,nyc,nyc_max_temp,nyc_prcp,bjg,bjg_max_temp,bjg_prcp,lnd,lnd_max_temp,lnd_prcp,tky,tky_max_temp,tky_prcp,mxc,mxc_max_temp,mxc_prcp,zch,zch_max_temp,zch_prcp,hnl,hnl_max_temp,hnl_prcp,ryk,ryk_max_temp,ryk_prcp,hbt,hbt_max_temp,hbt_prcp,fcl,fcl_max_temp,fcl_prcp
0,2010-01-01,-11.1,0.0,2010-01-01,-0.3,0.0,2010-01-01,2.4,0.0,2010-01-01,7.7,0.0,2010-01-01,27.9,0.0,2010-01-01,5.3,7.5,2010-01-01,27.2,1.3,2010-01-01,-4.4,0.0,2010-01-01,22.1,0.6,2010-01-01,20.5,0.0
1,2010-01-02,-9.0,0.0,2010-01-02,-1.6,7.5,2010-01-02,3.5,0.0,2010-01-02,9.3,0.0,2010-01-02,28.1,0.0,2010-01-02,-1.6,0.3,2010-01-02,25.8,0.0,2010-01-02,-6.1,0.0,2010-01-02,18.5,0.1,2010-01-02,18.5,0.0
2,2010-01-03,-9.0,0.0,2010-01-03,-7.5,5.3,2010-01-03,2.2,0.0,2010-01-03,8.1,0.0,2010-01-03,28.0,0.0,2010-01-03,0.7,0.0,2010-01-03,25.3,0.0,2010-01-03,-4.6,0.0,2010-01-03,23.2,0.0,2010-01-03,18.0,0.0
3,2010-01-04,-7.9,0.3,2010-01-04,-9.0,0.0,2010-01-04,1.4,0.0,2010-01-04,11.3,1.3,2010-01-04,28.1,0.0,2010-01-04,-0.5,0.0,2010-01-04,25.9,0.0,2010-01-04,-5.3,0.0,2010-01-04,23.3,0.0,2010-01-04,18.5,0.0
4,2010-01-05,-11.6,2.8,2010-01-05,-8.0,0.0,2010-01-05,1.7,7.1,2010-01-05,11.4,0.1,2010-01-05,27.9,0.0,2010-01-05,-1.1,0.2,2010-01-05,26.0,0.0,2010-01-05,-7.6,0.0,2010-01-05,22.0,0.0,2010-01-05,20.2,0.0
5,2010-01-06,-7.7,1.1,2010-01-06,-7.4,0.0,2010-01-06,0.7,2.5,2010-01-06,9.0,0.0,2010-01-06,28.4,0.0,2010-01-06,-0.1,0.5,2010-01-06,27.2,2.8,2010-01-06,0.7,1.0,2010-01-06,19.5,0.0,2010-01-06,18.8,0.0
6,2010-01-07,-10.7,3.2,2010-01-07,-5.9,0.0,2010-01-07,0.4,0.0,2010-01-07,9.8,0.0,2010-01-07,27.2,7.6,2010-01-07,1.1,0.3,2010-01-07,25.8,2.3,2010-01-07,-2.2,1.4,2010-01-07,27.9,0.9,2010-01-07,19.6,0.0
7,2010-01-08,-16.6,2.0,2010-01-08,-5.4,0.0,2010-01-08,0.6,0.0,2010-01-08,9.1,0.0,2010-01-08,26.5,0.7,2010-01-08,-1.3,3.5,2010-01-08,25.1,0.0,2010-01-08,6.0,0.5,2010-01-08,29.2,0.0,2010-01-08,20.2,0.0
8,2010-01-09,-17.6,0.1,2010-01-09,-1.8,0.0,2010-01-09,0.7,0.7,2010-01-09,8.9,0.0,2010-01-09,28.1,0.0,2010-01-09,-2.9,2.0,2010-01-09,25.1,0.0,2010-01-09,6.9,8.7,2010-01-09,23.8,0.0,2010-01-09,19.8,0.0
9,2010-01-10,-17.0,0.0,2010-01-10,-2.6,0.0,2010-01-10,1.4,3.4,2010-01-10,9.1,0.0,2010-01-10,27.9,0.0,2010-01-10,-1.9,0.0,2010-01-10,24.6,3.1,2010-01-10,6.1,0.0,2010-01-10,33.9,0.0,2010-01-10,16.1,0.0
10,2010-01-11,-20.8,0.0,2010-01-11,-3.9,0.0,2010-01-11,0.5,0.3,2010-01-11,6.2,0.4,2010-01-11,28.7,0.0,2010-01-11,-0.4,1.0,2010-01-11,25.5,0.3,2010-01-11,2.5,0.0,2010-01-11,35.7,0.0,2010-01-11,16.8,0.0
11,2010-01-12,-15.2,0.0,2010-01-12,-8.7,0.0,2010-01-12,1.1,0.0,2010-01-12,6.7,7.2,2010-01-12,28.1,0.5,2010-01-12,0.3,0.0,2010-01-12,26.5,0.0,2010-01-12,2.4,1.5,2010-01-12,27.1,0.1,2010-01-12,16.9,0.6
12,2010-01-13,-12.4,0.0,2010-01-13,-3.7,0.0,2010-01-13,0.6,3.1,2010-01-13,6.9,0.0,2010-01-13,27.0,0.4,2010-01-13,2.3,1.5,2010-01-13,26.5,1.2,2010-01-13,5.0,2.6,2010-01-13,19.6,0.3,2010-01-13,18.1,0.0
13,2010-01-14,-14.1,5.8,2010-01-14,-0.3,0.0,2010-01-14,3.0,2.7,2010-01-14,6.0,0.0,2010-01-14,26.1,0.1,2010-01-14,3.6,0.0,2010-01-14,26.5,1.6,2010-01-14,4.9,1.4,2010-01-14,26.0,0.1,2010-01-14,17.7,0.2
14,2010-01-15,-11.9,20.3,2010-01-15,-2.1,0.0,2010-01-15,6.1,0.0,2010-01-15,7.5,0.0,2010-01-15,27.3,0.0,2010-01-15,3.2,0.0,2010-01-15,25.0,1.2,2010-01-15,4.6,2.7,2010-01-15,27.6,0.7,2010-01-15,18.0,7.5
15,2010-01-16,-10.9,16.5,2010-01-16,-0.6,0.0,2010-01-16,7.6,6.4,2010-01-16,5.9,0.0,2010-01-16,26.2,0.1,2010-01-16,4.8,4.0,2010-01-16,24.1,0.0,2010-01-16,2.8,18.8,2010-01-16,24.4,3.4,2010-01-16,15.2,3.0
16,2010-01-17,-11.7,47.3,2010-01-17,1.3,0.0,2010-01-17,8.0,0.0,2010-01-17,7.3,0.0,2010-01-17,25.8,0.0,2010-01-17,5.4,3.8,2010-01-17,24.0,0.0,2010-01-17,2.0,3.4,2010-01-17,16.9,3.9,2010-01-17,16.2,3.2
17,2010-01-18,-16.9,8.4,2010-01-18,3.4,0.0,2010-01-18,8.6,0.0,2010-01-18,11.8,0.0,2010-01-18,25.2,0.0,2010-01-18,4.8,0.0,2010-01-18,23.8,0.0,2010-01-18,4.0,3.2,2010-01-18,17.6,2.3,2010-01-18,16.0,4.8
18,2010-01-19,-16.2,5.7,2010-01-19,4.6,0.0,2010-01-19,7.5,0.0,2010-01-19,12.9,0.0,2010-01-19,27.0,0.0,2010-01-19,4.4,0.0,2010-01-19,23.6,0.3,2010-01-19,6.9,4.8,2010-01-19,20.3,0.5,2010-01-19,15.2,0.0
19,2010-01-20,-13.1,15.1,2010-01-20,2.7,0.0,2010-01-20,3.2,4.2,2010-01-20,14.9,0.7,2010-01-20,28.2,0.0,2010-01-20,3.3,4.1,2010-01-20,22.0,0.0,2010-01-20,6.8,8.4,2010-01-20,20.2,0.1,2010-01-20,15.8,0.0
20,2010-01-21,-9.8,3.0,2010-01-21,0.2,0.0,2010-01-21,5.4,0.3,2010-01-21,15.9,0.3,2010-01-21,28.7,0.0,2010-01-21,4.2,0.6,2010-01-21,23.5,0.0,2010-01-21,6.7,13.3,2010-01-21,26.8,0.0,2010-01-21,17.0,1.6
21,2010-01-22,-7.6,0.5,2010-01-22,0.5,0.0,2010-01-22,7.5,1.7,2010-01-22,7.2,0.0,2010-01-22,28.3,0.0,2010-01-22,4.0,0.0,2010-01-22,23.1,0.0,2010-01-22,4.4,1.9,2010-01-22,27.2,0.0,2010-01-22,15.9,0.6
22,2010-01-23,-8.7,1.1,2010-01-23,3.6,0.0,2010-01-23,7.2,0.0,2010-01-23,7.7,0.2,2010-01-23,27.8,1.5,2010-01-23,3.7,0.0,2010-01-23,24.1,0.0,2010-01-23,7.3,13.8,2010-01-23,22.6,0.0,2010-01-23,14.9,1.5
23,2010-01-24,-10.2,3.9,2010-01-24,6.1,0.0,2010-01-24,6.0,1.4,2010-01-24,10.8,0.0,2010-01-24,27.6,1.5,2010-01-24,5.2,0.1,2010-01-24,24.9,1.5,2010-01-24,6.9,14.9,2010-01-24,23.5,0.0,2010-01-24,14.6,0.0
24,2010-01-25,-10.6,0.0,2010-01-25,2.0,0.0,2010-01-25,4.1,0.5,2010-01-25,13.3,0.0,2010-01-25,27.7,4.7,2010-01-25,4.1,1.0,2010-01-25,22.9,0.0,2010-01-25,8.8,15.1,2010-01-25,23.5,0.5,2010-01-25,15.9,0.0
25,2010-01-26,-7.9,2.8,2010-01-26,3.1,0.0,2010-01-26,2.1,0.0,2010-01-26,9.7,0.0,2010-01-26,25.9,10.3,2010-01-26,-0.2,2.0,2010-01-26,22.5,0.0,2010-01-26,4.0,1.4,2010-01-26,21.3,0.2,2010-01-26,16.5,0.0
26,2010-01-27,-9.2,1.0,2010-01-27,8.5,0.0,2010-01-27,6.3,0.1,2010-01-27,14.0,0.6,2010-01-27,25.5,0.5,2010-01-27,-1.5,0.6,2010-01-27,24.0,0.7,2010-01-27,5.0,0.0,2010-01-27,26.0,0.0,2010-01-27,17.8,0.0
27,2010-01-28,-8.3,0.0,2010-01-28,2.7,0.0,2010-01-28,5.9,0.9,2010-01-28,14.4,5.0,2010-01-28,27.6,0.2,2010-01-28,0.3,4.7,2010-01-28,24.2,0.0,2010-01-28,3.2,0.5,2010-01-28,26.0,0.0,2010-01-28,17.0,0.0
28,2010-01-29,-13.0,0.0,2010-01-29,6.5,0.0,2010-01-29,4.2,3.9,2010-01-29,8.9,0.3,2010-01-29,29.1,0.0,2010-01-29,1.8,8.1,2010-01-29,25.0,0.0,2010-01-29,-0.8,0.0,2010-01-29,25.2,0.0,2010-01-29,15.4,1.7
29,2010-01-30,-9.5,0.0,2010-01-30,7.0,0.0,2010-01-30,3.0,0.0,2010-01-30,10.6,0.3,2010-01-30,28.9,0.0,2010-01-30,-1.2,2.0,2010-01-30,24.8,0.0,2010-01-30,-1.5,0.0,2010-01-30,32.4,0.0,2010-01-30,18.1,0.0
30,2010-01-31,-10.4,0.0,2010-01-31,6.1,0.0,2010-01-31,3.6,0.0,2010-01-31,11.5,0.0,2010-01-31,28.7,0.0,2010-01-31,-2.1,0.7,2010-01-31,24.0,0.6,2010-01-31,-0.2,0.0,2010-01-31,33.1,0.8,2010-01-31,17.5,0.0
31,2010-02-01,-12.2,0.2,2010-02-01,1.1,0.0,2010-02-01,4.1,0.0,2010-02-01,8.2,18.9,2010-02-01,29.0,0.0,2010-02-01,-1.1,1.8,2010-02-01,23.4,0.0,2010-02-01,1.6,0.0,2010-02-01,27.5,0.0,2010-02-01,18.7,0.0
32,2010-02-02,-12.3,0.1,2010-02-02,1.0,0.0,2010-02-02,7.3,3.3,2010-02-02,8.7,0.0,2010-02-02,29.3,0.0,2010-02-02,2.8,1.0,2010-02-02,24.8,0.0,2010-02-02,1.0,0.0,2010-02-02,30.0,0.0,2010-02-02,14.8,0.0
33,2010-02-03,-12.3,8.6,2010-02-03,2.0,0.0,2010-02-03,7.6,1.6,2010-02-03,5.2,2.3,2010-02-03,29.8,0.0,2010-02-03,5.4,4.4,2010-02-03,25.2,1.2,2010-02-03,-1.4,0.0,2010-02-03,28.4,0.0,2010-02-03,14.5,0.0
34,2010-02-04,-13.1,18.3,2010-02-04,1.8,0.0,2010-02-04,8.2,1.4,2010-02-04,6.5,0.0,2010-02-04,30.1,0.0,2010-02-04,5.9,0.0,2010-02-04,24.1,3.3,2010-02-04,-0.4,0.3,2010-02-04,28.9,14.5,2010-02-04,15.1,0.0
35,2010-02-05,-10.4,26.1,2010-02-05,0.2,0.0,2010-02-05,9.9,4.3,2010-02-05,8.4,0.2,2010-02-05,29.7,0.0,2010-02-05,3.4,13.5,2010-02-05,24.1,0.0,2010-02-05,1.1,0.0,2010-02-05,18.6,0.0,2010-02-05,16.8,0.0
36,2010-02-06,-10.7,16.5,2010-02-06,-1.1,2.4,2010-02-06,9.0,0.0,2010-02-06,7.2,0.0,2010-02-06,30.2,0.0,2010-02-06,5.2,0.3,2010-02-06,25.4,1.2,2010-02-06,2.2,0.0,2010-02-06,20.4,0.0,2010-02-06,16.7,0.0
37,2010-02-07,-11.3,5.5,2010-02-07,2.7,0.0,2010-02-07,5.7,0.0,2010-02-07,7.8,0.0,2010-02-07,30.0,0.0,2010-02-07,3.4,0.4,2010-02-07,23.8,0.0,2010-02-07,5.6,0.0,2010-02-07,23.7,0.0,2010-02-07,17.0,0.3
38,2010-02-08,-14.1,3.1,2010-02-08,5.8,0.0,2010-02-08,2.7,0.7,2010-02-08,14.9,0.0,2010-02-08,30.3,0.0,2010-02-08,1.8,0.0,2010-02-08,21.5,0.0,2010-02-08,4.3,0.0,2010-02-08,26.7,0.0,2010-02-08,15.8,0.2
39,2010-02-09,-20.4,0.8,2010-02-09,4.7,0.0,2010-02-09,4.7,0.0,2010-02-09,17.1,0.0,2010-02-09,30.4,0.0,2010-02-09,3.8,1.5,2010-02-09,22.5,0.0,2010-02-09,3.5,0.0,2010-02-09,27.6,4.9,2010-02-09,20.6,0.0
40,2010-02-10,-16.7,0.0,2010-02-10,1.8,0.0,2010-02-10,2.3,0.0,2010-02-10,10.0,4.0,2010-02-10,30.8,0.0,2010-02-10,-1.4,2.8,2010-02-10,23.9,0.0,2010-02-10,4.7,2.5,2010-02-10,23.4,0.1,2010-02-10,20.4,0.0
41,2010-02-11,-15.0,0.2,2010-02-11,0.6,0.0,2010-02-11,2.0,0.0,2010-02-11,5.6,12.6,2010-02-11,31.3,0.0,2010-02-11,-4.3,3.1,2010-02-11,24.2,0.0,2010-02-11,4.9,0.5,2010-02-11,20.9,2.9,2010-02-11,18.9,0.0
42,2010-02-12,-16.1,1.2,2010-02-12,0.7,0.0,2010-02-12,4.3,0.0,2010-02-12,4.6,1.1,2010-02-12,31.0,0.0,2010-02-12,-2.9,0.1,2010-02-12,24.7,0.8,2010-02-12,5.2,2.9,2010-02-12,17.7,0.0,2010-02-12,18.1,0.0
43,2010-02-13,-16.3,0.3,2010-02-13,3.3,0.0,2010-02-13,2.7,0.6,2010-02-13,5.1,1.7,2010-02-13,31.6,0.0,2010-02-13,-1.8,0.0,2010-02-13,24.8,0.0,2010-02-13,5.1,3.8,2010-02-13,19.5,0.0,2010-02-13,15.9,0.0
44,2010-02-14,-18.3,0.0,2010-02-14,0.4,0.0,2010-02-14,3.9,0.6,2010-02-14,7.1,0.8,2010-02-14,32.0,0.0,2010-02-14,-0.2,0.0,2010-02-14,24.4,0.1,2010-02-14,3.0,0.8,2010-02-14,23.3,0.2,2010-02-14,18.1,0.0
45,2010-02-15,-17.1,0.0,2010-02-15,1.1,0.0,2010-02-15,3.0,0.0,2010-02-15,6.3,9.2,2010-02-15,31.7,0.0,2010-02-15,0.9,0.0,2010-02-15,24.4,1.1,2010-02-15,2.2,0.0,2010-02-15,24.9,0.0,2010-02-15,15.9,0.0
46,2010-02-16,-16.2,0.0,2010-02-16,3.6,0.0,2010-02-16,4.7,13.4,2010-02-16,4.9,1.0,2010-02-16,32.2,0.0,2010-02-16,3.1,0.0,2010-02-16,24.7,0.2,2010-02-16,1.8,0.0,2010-02-16,25.4,0.0,2010-02-16,21.0,0.0
47,2010-02-17,-10.6,0.5,2010-02-17,2.6,0.0,2010-02-17,6.2,0.0,2010-02-17,4.1,5.2,2010-02-17,32.1,0.0,2010-02-17,6.8,0.7,2010-02-17,24.8,0.3,2010-02-17,-1.7,0.0,2010-02-17,23.1,0.1,2010-02-17,20.0,0.0
48,2010-02-18,-11.0,3.5,2010-02-18,5.7,0.0,2010-02-18,6.5,4.2,2010-02-18,6.0,1.0,2010-02-18,31.8,0.2,2010-02-18,7.8,0.8,2010-02-18,24.9,0.0,2010-02-18,-3.2,0.0,2010-02-18,25.2,0.0,2010-02-18,20.0,0.0
49,2010-02-19,-10.9,30.7,2010-02-19,9.8,0.0,2010-02-19,5.0,0.2,2010-02-19,7.7,0.5,2010-02-19,31.7,0.1,2010-02-19,4.9,7.3,2010-02-19,25.0,3.3,2010-02-19,0.4,0.0,2010-02-19,31.6,0.0,2010-02-19,23.0,0.0
50,2010-02-20,-8.5,9.7,2010-02-20,10.7,0.0,2010-02-20,5.2,0.1,2010-02-20,9.5,0.0,2010-02-20,30.8,0.2,2010-02-20,3.9,1.4,2010-02-20,25.3,1.1,2010-02-20,-0.3,0.0,2010-02-20,31.8,0.0,2010-02-20,19.9,3.2
51,2010-02-21,-3.8,0.0,2010-02-21,13.3,0.0,2010-02-21,7.2,8.1,2010-02-21,8.1,0.0,2010-02-21,31.2,0.0,2010-02-21,6.5,0.0,2010-02-21,25.2,0.1,2010-02-21,-0.5,0.0,2010-02-21,23.5,0.0,2010-02-21,16.5,0.0
52,2010-02-22,-3.3,5.3,2010-02-22,6.4,0.0,2010-02-22,3.2,9.8,2010-02-22,11.6,0.0,2010-02-22,31.1,0.0,2010-02-22,10.0,0.7,2010-02-22,24.9,6.2,2010-02-22,-2.1,0.0,2010-02-22,20.6,10.1,2010-02-22,18.7,0.0
53,2010-02-23,-6.2,0.3,2010-02-23,9.6,0.0,2010-02-23,4.9,1.7,2010-02-23,14.3,0.0,2010-02-23,30.6,0.0,2010-02-23,9.1,5.8,2010-02-23,24.9,5.0,2010-02-23,-2.0,0.0,2010-02-23,20.0,0.0,2010-02-23,18.6,0.0
54,2010-02-24,-8.6,2.2,2010-02-24,12.3,0.0,2010-02-24,10.6,2.9,2010-02-24,15.5,0.0,2010-02-24,30.5,0.0,2010-02-24,9.1,2.6,2010-02-24,25.5,17.6,2010-02-24,-1.6,4.1,2010-02-24,24.7,0.0,2010-02-24,18.0,0.1
55,2010-02-25,-6.4,2.1,2010-02-25,8.7,0.0,2010-02-25,9.1,5.0,2010-02-25,16.6,0.1,2010-02-25,32.2,0.0,2010-02-25,11.2,5.0,2010-02-25,23.2,0.0,2010-02-25,-3.7,14.4,2010-02-25,26.9,0.0,2010-02-25,17.4,0.0
56,2010-02-26,-8.7,14.0,2010-02-26,5.5,0.9,2010-02-26,7.8,1.2,2010-02-26,16.3,26.3,2010-02-26,32.8,0.0,2010-02-26,9.5,2.9,2010-02-26,22.6,0.0,2010-02-26,-4.2,0.7,2010-02-26,27.6,2.0,2010-02-26,18.5,0.0
57,2010-02-27,-10.0,5.0,2010-02-27,3.9,0.0,2010-02-27,9.8,7.2,2010-02-27,10.8,14.1,2010-02-27,32.9,0.0,2010-02-27,11.9,0.5,2010-02-27,23.5,0.0,2010-02-27,1.8,2.7,2010-02-27,16.3,0.8,2010-02-27,18.0,0.0
58,2010-02-28,-7.8,1.8,2010-02-28,4.1,1.4,2010-02-28,5.8,11.4,2010-02-28,11.7,0.6,2010-02-28,32.9,0.0,2010-02-28,12.9,0.2,2010-02-28,23.8,0.0,2010-02-28,1.9,0.0,2010-02-28,16.9,0.4,2010-02-28,19.2,0.0
59,2010-03-01,-8.1,6.9,2010-03-01,6.6,0.0,2010-03-01,8.5,0.0,2010-03-01,15.3,3.3,2010-03-01,33.1,0.0,2010-03-01,9.8,0.0,2010-03-01,23.5,0.3,2010-03-01,1.8,0.0,2010-03-01,19.4,0.0,2010-03-01,20.8,0.0
60,2010-03-02,-9.5,2.2,2010-03-02,9.9,0.0,2010-03-02,8.7,0.0,2010-03-02,9.4,0.3,2010-03-02,33.3,0.0,2010-03-02,6.6,4.3,2010-03-02,23.8,0.0,2010-03-02,3.6,10.4,2010-03-02,21.4,0.0,2010-03-02,17.9,0.0
61,2010-03-03,-4.6,4.0,2010-03-03,7.4,0.0,2010-03-03,5.4,0.0,2010-03-03,12.8,0.0,2010-03-03,34.0,0.0,2010-03-03,7.7,0.0,2010-03-03,24.3,1.0,2010-03-03,1.3,1.8,2010-03-03,26.2,0.0,2010-03-03,21.4,0.0
62,2010-03-04,-8.4,9.2,2010-03-04,8.0,0.1,2010-03-04,6.2,0.0,2010-03-04,16.5,10.0,2010-03-04,33.9,0.0,2010-03-04,4.1,0.6,2010-03-04,24.4,2.3,2010-03-04,4.7,5.1,2010-03-04,26.7,0.0,2010-03-04,21.5,0.0
63,2010-03-05,-8.6,0.7,2010-03-05,3.8,0.0,2010-03-05,7.6,0.0,2010-03-05,18.5,2.7,2010-03-05,34.1,0.0,2010-03-05,1.6,0.2,2010-03-05,24.6,0.8,2010-03-05,6.7,9.3,2010-03-05,26.3,3.7,2010-03-05,17.5,0.0
64,2010-03-06,-4.8,0.1,2010-03-06,2.2,0.0,2010-03-06,5.6,0.0,2010-03-06,12.8,12.5,2010-03-06,34.7,0.0,2010-03-06,2.0,6.3,2010-03-06,24.8,0.2,2010-03-06,5.6,10.1,2010-03-06,26.3,0.0,2010-03-06,19.6,0.0
65,2010-03-07,-3.6,0.0,2010-03-07,1.0,3.4,2010-03-07,2.8,0.0,2010-03-07,7.1,5.6,2010-03-07,35.3,0.0,2010-03-07,0.6,0.0,2010-03-07,24.6,0.0,2010-03-07,2.6,5.2,2010-03-07,27.6,5.8,2010-03-07,23.0,0.0
66,2010-03-08,-5.9,0.4,2010-03-08,0.4,0.0,2010-03-08,4.8,0.0,2010-03-08,8.3,0.4,2010-03-08,36.0,0.0,2010-03-08,1.5,0.0,2010-03-08,24.8,0.2,2010-03-08,6.7,2.0,2010-03-08,24.4,2.4,2010-03-08,19.5,0.4
67,2010-03-09,-5.7,2.4,2010-03-09,4.5,0.0,2010-03-09,6.4,0.0,2010-03-09,8.1,32.5,2010-03-09,35.7,0.7,2010-03-09,-0.3,0.0,2010-03-09,25.0,0.0,2010-03-09,7.1,9.9,2010-03-09,18.8,4.9,2010-03-09,19.5,0.0
68,2010-03-10,-3.6,0.0,2010-03-10,8.3,0.0,2010-03-10,4.7,0.0,2010-03-10,12.6,0.0,2010-03-10,28.7,0.0,2010-03-10,1.9,0.6,2010-03-10,25.0,0.0,2010-03-10,5.3,5.6,2010-03-10,18.6,0.0,2010-03-10,19.5,0.0
69,2010-03-11,-4.0,13.9,2010-03-11,11.7,0.0,2010-03-11,5.8,0.0,2010-03-11,11.6,0.0,2010-03-11,29.1,0.0,2010-03-11,-0.2,3.9,2010-03-11,25.1,0.3,2010-03-11,5.0,0.0,2010-03-11,20.2,0.0,2010-03-11,15.4,0.0
70,2010-03-12,-12.8,1.6,2010-03-12,9.8,0.0,2010-03-12,8.3,3.1,2010-03-12,18.7,0.0,2010-03-12,33.3,0.0,2010-03-12,2.5,0.0,2010-03-12,24.6,0.9,2010-03-12,5.7,1.4,2010-03-12,21.9,0.0,2010-03-12,16.6,0.0
71,2010-03-13,-6.8,0.7,2010-03-13,8.5,3.6,2010-03-13,8.6,0.0,2010-03-13,19.8,0.0,2010-03-13,35.1,0.0,2010-03-13,3.6,0.0,2010-03-13,24.9,0.0,2010-03-13,7.2,0.5,2010-03-13,23.8,0.0,2010-03-13,17.4,0.2
72,2010-03-14,-6.3,18.4,2010-03-14,2.6,6.5,2010-03-14,9.7,0.0,2010-03-14,15.9,0.0,2010-03-14,35.3,0.0,2010-03-14,6.5,0.2,2010-03-14,24.8,0.5,2010-03-14,5.9,5.2,2010-03-14,27.4,0.0,2010-03-14,16.1,2.7
73,2010-03-15,-5.3,13.3,2010-03-15,6.0,0.0,2010-03-15,11.2,0.0,2010-03-15,20.7,14.3,2010-03-15,34.4,0.0,2010-03-15,6.8,2.0,2010-03-15,25.0,0.7,2010-03-15,5.0,0.8,2010-03-15,28.0,0.0,2010-03-15,14.8,0.4
74,2010-03-16,0.4,0.0,2010-03-16,8.1,0.0,2010-03-16,10.9,0.0,2010-03-16,20.9,2.7,2010-03-16,33.7,0.0,2010-03-16,7.5,3.5,2010-03-16,25.0,0.5,2010-03-16,7.0,13.0,2010-03-16,27.5,0.0,2010-03-16,14.8,0.0
